date,year,month,value
1/31/2010,2010,1,3924.606
2/28/2010,2010,2,3711.24
3/31/2010,2010,3,4004.124
4/30/2010,2010,4,4034.857
5/31/2010,2010,5,4049.448
6/30/2010,2010,6,3524.938
7/31/2010,2010,7,4003.566
8/31/2010,2010,8,4062.974
9/30/2010,2010,9,4218.78
10/31/2010,2010,10,4301.862
11/30/2010,2010,11,4230.555
12/31/2010,2010,12,4007.154
1/31/2011,2011,1,4271.621
2/28/2011,2011,2,4169.727
3/31/2011,2011,3,4243.901
4/30/2011,2011,4,3972.791
5/31/2011,2011,5,3836.164
6/30/2011,2011,6,957.7762
7/31/2011,2011,7,1965.69
8/31/2011,2011,8,2613.055
9/30/2011,2011,9,2669.56
10/31/2011,2011,10,2780.045
11/30/2011,2011,11,2828.433
12/31/2011,2011,12,2562.865
1/31/2012,2012,1,2815.128
2/29/2012,2012,2,2900.966
3/31/2012,2012,3,3219.198
4/30/2012,2012,4,1182.215
5/31/2012,2012,5,1764.789
6/30/2012,2012,6,1709.71
7/31/2012,2012,7,1629.29
8/31/2012,2012,8,2683.135
9/30/2012,2012,9,2460.048
10/31/2012,2012,10,1709.214
11/30/2012,2012,11,1825.126
12/31/2012,2012,12,1714.65
1/31/2013,2013,1,1891.092
2/28/2013,2013,2,1584.116
3/31/2013,2013,3,1656.62
4/30/2013,2013,4,1507.8
5/31/2013,2013,5,1569.836
6/30/2013,2013,6,648.9597
7/31/2013,2013,7,1144.576
8/31/2013,2013,8,1543.713
9/30/2013,2013,9,1078.162
10/31/2013,2013,10,1968.464
11/30/2013,2013,11,1629.786
12/31/2013,2013,12,1452.536
1/31/2014,2014,1,1681.808
2/28/2014,2014,2,1591.911
3/31/2014,2014,3,1461.622
4/30/2014,2014,4,1396.12
5/31/2014,2014,5,1497.66
6/30/2014,2014,6,1353.891
7/31/2014,2014,7,1314.621
8/31/2014,2014,8,1506.915
9/30/2014,2014,9,1380.405
10/31/2014,2014,10,1360.579
11/30/2014,2014,11,1270.299
12/31/2014,2014,12,1403.504
1/31/2015,2015,1,1553.7
2/28/2015,2015,2,1528.299
3/31/2015,2015,3,1626.08
4/30/2015,2015,4,1631.403
5/31/2015,2015,5,1694.266
6/30/2015,2015,6,1656.718
7/31/2015,2015,7,1487.012
8/31/2015,2015,8,1630.15
9/30/2015,2015,9,1061.839
10/31/2015,2015,10,1774.641
11/30/2015,2015,11,1935.126
12/31/2015,2015,12,1952.598
1/31/2016,2016,1,979.2404
2/29/2016,2016,2,421.7351
3/31/2016,2016,3,1545.494
4/30/2016,2016,4,1806.54
5/31/2016,2016,5,2256.456
6/30/2016,2016,6,2697.748
7/31/2016,2016,7,2419.598
8/31/2016,2016,8,2779.67
9/30/2016,2016,9,2854.312
10/31/2016,2016,10,2894.507
11/30/2016,2016,11,2560.622
12/31/2016,2016,12,2532.512
1/31/2017,2017,1,2268.998
2/28/2017,2017,2,1949.718
3/31/2017,2017,3,2129.726
4/30/2017,2017,4,2058.263
5/31/2017,2017,5,1676.69
6/30/2017,2017,6,2133.213
7/31/2017,2017,7,1679.435
8/31/2017,2017,8,1717.925
9/30/2017,2017,9,1436.029
10/31/2017,2017,10,1698.886
11/30/2017,2017,11,1633.437
12/31/2017,2017,12,1476.903
1/31/2018,2018,1,488.3506
2/28/2018,2018,2,1120.018
3/31/2018,2018,3,780.7359
4/30/2018,2018,4,1199.128
5/31/2018,2018,5,1074.806
6/30/2018,2018,6,1181.986
7/31/2018,2018,7,1152.149
8/31/2018,2018,8,1175.737
9/30/2018,2018,9,1083.553
10/31/2018,2018,10,1136.516
11/30/2018,2018,11,931.4476
12/31/2018,2018,12,1097.112
1/31/2019,2019,1,979.8545
2/28/2019,2019,2,1213.183
3/31/2019,2019,3,1640.011
4/30/2019,2019,4,835.4967
5/31/2019,2019,5,1894.629
6/30/2019,2019,6,1771.017
7/31/2019,2019,7,1343.423
8/31/2019,2019,8,1281.637
9/30/2019,2019,9,1263.542
10/31/2019,2019,10,1583.655
11/30/2019,2019,11,1500.468
12/31/2019,2019,12,1539.903
