WellID,Date,MethodID,CHP,THP,Temp,Choke,Qinj,PVT_fvFO,PVT_Zed,PVT_SpgO,PVT_SpgGP,Rel_Oper_Press,Rel_Crit_Press,WC,Test_Liquid,Test_Oil,Test_Water
84,7/23/2012,9008,21.50909,15.9,96.87778,1.725,0,1.114856,0.9729372,0.92303,0.799,0.7511782,0.5303218,0.3666667,10986,10945.72,40.282
84,7/24/2012,9008,21.53333,15.94167,97.465,1.725,0,1.115611,0.9730617,0.92303,0.799,0.7522177,0.5303447,0.3239583,10986,10950.41,35.59007
84,7/25/2012,9008,21.53846,15.98077,97.93182,1.725,0,1.116182,0.9731763,0.92303,0.799,0.7537791,0.5303867,0.28125,10986,10955.1,30.89812
84,7/26/2012,9008,21.53572,16.01786,99.60455,1.725,0,1.118186,0.973606,0.92303,0.799,0.7555141,0.5305761,0.325,10986,10950.3,35.7045
84,7/27/2012,9008,21.54,16.05,100.2773,1.725,0,1.119005,0.9737706,0.92303,0.799,0.7567946,0.5306409,0.335,10986,10949.2,36.8031
84,7/28/2012,9008,21.98333,16.33667,100.8227,1.725,0,1.1206,0.9734173,0.92303,0.799,0.7546724,0.5299516,0.3264286,10986,10950.14,35.86144
84,7/29/2012,9008,21.99333,16.34667,101.2864,1.725,0,1.121179,0.973524,0.92303,0.799,0.754779,0.5299854,0.3178571,10986,10951.08,34.91978
84,7/30/2012,9008,21.97,16.32,101.6864,1.725,0,1.121612,0.9736505,0.92303,0.799,0.7543854,0.530068,0.3092857,10986,10952.02,33.97813
84,7/31/2012,9008,21.95667,16.32667,102.1136,1.725,0,1.1221,0.9737724,0.92303,0.799,0.7551128,0.5301366,0.3007143,10986,10952.96,33.03647
84,8/1/2012,9008,21.93633,16.37427,102.3864,1.725,0,1.122386,0.9738627,0.92303,0.799,0.7578536,0.5302001,0.2921429,10986,10953.91,32.09481
84,8/2/2012,9008,21.9222,16.4226,102.6182,1.725,0,1.122636,0.9739358,0.92303,0.799,0.7604257,0.5302486,0.2835714,10986,10954.85,31.15316
84,8/3/2012,9008,21.83313,16.48167,102.6364,1.725,0,1.12247,0.9740369,0.92303,0.799,0.7659706,0.5303991,0.275,10986,10955.79,30.2115
84,8/4/2012,9008,21.75647,16.535,102.6398,1.725,0,1.122313,0.9741209,0.92303,0.799,0.7708876,0.5305271,0.255,10986,10957.99,28.0143
84,8/5/2012,9008,21.75647,16.555,101.5165,1.725,0,1.120956,0.9738418,0.92303,0.799,0.7717652,0.5304071,0.2725,10986,10956.06,29.93685
84,8/6/2012,9008,21.76647,16.58833,101.6074,1.725,0,1.121087,0.9738536,0.92303,0.799,0.7728887,0.5304002,0.29,10986,10954.14,31.8594
84,8/7/2012,9008,21.7698,16.59167,101.6165,1.725,0,1.121105,0.9738522,0.92303,0.799,0.7729219,0.5303956,0.23,10986,10960.73,25.2678
84,8/8/2012,9008,21.73647,16.57833,101.5255,1.725,0,1.120925,0.973866,0.92303,0.799,0.7734678,0.5304415,0.32,10986,10950.84,35.1552
84,8/9/2012,9008,21.7398,16.565,101.4437,1.725,0,1.120834,0.9738419,0.92303,0.799,0.7727692,0.5304272,0.32,10986,10950.84,35.1552
84,8/10/2012,9008,21.74313,16.55167,101.4028,1.725,0,1.120791,0.973828,0.92303,0.799,0.7720706,0.5304172,0.34,10986,10948.65,37.3524
84,8/11/2012,9008,21.76313,16.52167,101.3937,1.725,0,1.120822,0.9738038,0.92303,0.799,0.7700773,0.5303828,0.36,10986,10946.45,39.5496
