WellID,Date,MethodID,CHP,THP,Temp,Choke,Qinj,PVT_fvFO,PVT_Zed,PVT_SpgO,PVT_SpgGP,Rel_Oper_Press,Rel_Crit_Press,WC,Test_Liquid,Test_Oil,Test_Water
200,1/1/2000,9009,8.2,5.2,35.75634,3.25,0,1.05305,0.9960482,0.92544,0.922,0.6750966,0.5473667,0.2213754,4193.809,4184.525,9.28406
200,1/2/2000,9009,8.2,5.2,35.75518,3.25,0,1.053049,0.9960482,0.92544,0.922,0.6750966,0.5473894,0.2214613,4194.853,4185.563,9.289977
200,1/3/2000,9009,8.2,5.2,35.75402,3.25,0,1.053048,0.9960481,0.92544,0.922,0.6750966,0.5474071,0.2215473,4195.896,4186.601,9.295895
200,1/4/2000,9009,8.2,5.2,35.75286,3.25,0,1.053047,0.996048,0.92544,0.922,0.6750966,0.5474247,0.2216332,4196.94,4187.638,9.301814
200,1/5/2000,9009,8.2,5.2,35.75171,3.25,0,1.053046,0.996048,0.92544,0.922,0.6750966,0.5474423,0.2217192,4197.983,4188.676,9.307735
200,1/6/2000,9009,8.2,5.2,35.75055,3.25,0,1.053045,0.996048,0.92544,0.922,0.6750966,0.5474598,0.2218052,4199.027,4189.713,9.313658
200,1/7/2000,9009,8.2,5.2,35.74824,3.25,0,1.053043,0.9960479,0.92544,0.922,0.6750966,0.5474772,0.2218911,4200.071,4190.751,9.319584
200,1/8/2000,9009,8.2,5.2,35.74593,3.25,0,1.053041,0.9960478,0.92544,0.922,0.6750966,0.5474946,0.2219771,4201.114,4191.789,9.32551
200,1/9/2000,9009,8.2,5.2,35.74361,3.25,0,1.053039,0.9960477,0.92544,0.922,0.6750966,0.547517,0.222063,4202.158,4192.826,9.331439
200,1/10/2000,9009,8.2,5.2,35.7413,3.25,0,1.053037,0.9960476,0.92544,0.922,0.6750966,0.5475343,0.222149,4203.201,4193.864,9.337369
200,1/11/2000,9009,8.2,5.2,35.73899,3.25,0,1.053035,0.9960475,0.92544,0.922,0.6750966,0.5475516,0.222235,4204.245,4194.901,9.343302
200,1/12/2000,9009,8.2,5.2,35.73667,3.25,0,1.053033,0.9960474,0.92544,0.922,0.6750966,0.5475688,0.2223209,4205.288,4195.939,9.349235
200,1/13/2000,9009,8.2,5.2,35.73436,3.25,0,1.053031,0.9960473,0.92544,0.922,0.6750966,0.547586,0.2224069,4206.332,4196.977,9.355171
200,1/14/2000,9009,8.2,5.2,35.73204,3.25,0,1.053029,0.9960472,0.92544,0.922,0.6750966,0.5476031,0.2224928,4207.375,4198.014,9.36111
200,1/15/2000,9009,8.2,5.2,35.72973,3.25,0,1.053027,0.9960471,0.92544,0.922,0.6750966,0.5476202,0.2225788,4208.419,4199.052,9.367048
200,1/16/2000,9009,8.2,5.2,35.72742,3.25,0,1.053025,0.996047,0.92544,0.922,0.6750966,0.5476424,0.2226648,4209.462,4200.089,9.37299
200,1/17/2000,9009,8.2,5.2,35.72511,3.25,0,1.053023,0.996047,0.92544,0.922,0.6750966,0.5476594,0.2227507,4210.506,4201.127,9.378933
200,1/18/2000,9009,8.2,5.2,35.72279,3.25,0,1.053021,0.9960468,0.92544,0.922,0.6750966,0.5476764,0.2228367,4211.549,4202.165,9.384876
200,1/19/2000,9009,8.2,5.2,35.72048,3.25,0,1.053019,0.9960468,0.92544,0.922,0.6750966,0.5476933,0.2229226,4212.593,4203.203,9.390824
200,1/20/2000,9009,8.2,5.2,35.71817,3.25,0,1.053017,0.9960467,0.92544,0.922,0.6750966,0.5477102,0.2230086,4213.637,4204.24,9.396772
200,1/21/2000,9009,8.2,5.2,35.71585,3.25,0,1.053015,0.9960466,0.92544,0.922,0.6750966,0.5477271,0.2230946,4214.68,4205.277,9.402722
200,1/22/2000,9009,8.2,5.2,35.71354,3.25,0,1.053013,0.9960465,0.92544,0.922,0.6750966,0.5477439,0.2231805,4215.724,4206.315,9.408673
200,1/23/2000,9009,8.2,5.2,35.71123,3.25,0,1.053012,0.9960464,0.92544,0.922,0.6750966,0.5477658,0.2232665,4216.767,4207.353,9.414628
200,1/24/2000,9009,8.2,5.2,35.70892,3.25,0,1.05301,0.9960463,0.92544,0.922,0.6750966,0.5477825,0.2233524,4217.811,4208.391,9.420584
200,1/25/2000,9009,8.2,5.2,35.7066,3.25,0,1.053007,0.9960462,0.92544,0.922,0.6750966,0.5477993,0.2234384,4218.854,4209.428,9.426541
200,1/26/2000,9009,8.2,5.2,35.70429,3.25,0,1.053006,0.9960461,0.92544,0.922,0.6750966,0.547816,0.2235244,4219.898,4210.465,9.4325
200,1/27/2000,9009,8.2,5.2,35.70198,3.25,0,1.053004,0.996046,0.92544,0.922,0.6750966,0.5478326,0.2236103,4220.941,4211.503,9.43846
200,1/28/2000,9009,8.2,5.2,35.69967,3.25,0,1.053002,0.9960459,0.92544,0.922,0.6750966,0.5478492,0.2236963,4221.985,4212.541,9.444424
200,1/29/2000,9009,8.2,5.2,35.69736,3.25,0,1.053,0.9960458,0.92544,0.922,0.6750966,0.5478657,0.2237822,4223.028,4213.578,9.450388
200,1/30/2000,9009,8.2,5.2,35.69504,3.25,0,1.052998,0.9960458,0.92544,0.922,0.6750966,0.5478823,0.2238682,4224.072,4214.616,9.456354
200,1/31/2000,9009,8.2,5.2,35.69273,3.25,0,1.052996,0.9960456,0.92544,0.922,0.6750966,0.5479038,0.2239542,4225.116,4215.653,9.462322
200,2/1/2000,9009,8.2,5.2,35.69042,3.25,0,1.052994,0.9960456,0.92544,0.922,0.6750966,0.5479203,0.2240401,4226.159,4216.691,9.468292
200,2/2/2000,9009,8.2,5.2,35.68811,3.25,0,1.052992,0.9960455,0.92544,0.922,0.6750966,0.5479367,0.2241261,4227.203,4217.728,9.474263
200,2/3/2000,9009,8.2,5.2,35.68579,3.25,0,1.05299,0.9960454,0.92544,0.922,0.6750966,0.5479531,0.224212,4228.246,4218.766,9.480237
200,2/4/2000,9009,8.2,5.2,35.68348,3.25,0,1.052988,0.9960453,0.92544,0.922,0.6750966,0.5479695,0.224298,4229.29,4219.804,9.486213
200,2/5/2000,9009,8.2,5.2,35.68117,3.25,0,1.052986,0.9960452,0.92544,0.922,0.6750966,0.5479857,0.224384,4230.333,4220.842,9.492189
200,2/6/2000,9009,8.2,5.2,35.67886,3.25,0,1.052984,0.9960451,0.92544,0.922,0.6750966,0.548002,0.2244699,4231.377,4221.879,9.498168
200,2/7/2000,9009,8.2,5.2,35.67655,3.25,0,1.052982,0.996045,0.92544,0.922,0.6750966,0.5480233,0.2245559,4232.42,4222.916,9.504149
200,2/8/2000,9009,8.2,5.2,35.67424,3.25,0,1.05298,0.9960449,0.92544,0.922,0.6750966,0.5480396,0.2246418,4233.464,4223.954,9.510131
200,2/9/2000,9009,8.2,5.2,35.67192,3.25,0,1.052978,0.9960448,0.92544,0.922,0.6750966,0.5480557,0.2247278,4234.507,4224.991,9.516115
200,2/10/2000,9009,8.2,5.2,35.66961,3.25,0,1.052976,0.9960448,0.92544,0.922,0.6750966,0.5480719,0.2248138,4235.551,4226.029,9.522102
200,2/11/2000,9009,8.2,5.2,35.6673,3.25,0,1.052974,0.9960446,0.92544,0.922,0.6750966,0.5480879,0.2248997,4236.595,4227.066,9.528089
200,2/12/2000,9009,8.2,5.2,35.66499,3.25,0,1.052972,0.9960446,0.92544,0.922,0.6750966,0.5481039,0.2249857,4237.638,4228.104,9.534079
200,2/13/2000,9009,8.2,5.2,35.66268,3.25,0,1.05297,0.9960445,0.92544,0.922,0.6750966,0.54812,0.2250716,4238.682,4229.142,9.540071
200,2/14/2000,9009,8.2,5.2,35.66037,3.25,0,1.052968,0.9960443,0.92544,0.922,0.6750966,0.5481411,0.2251576,4239.725,4230.179,9.546062
200,2/15/2000,9009,8.2,5.2,35.65806,3.25,0,1.052966,0.9960443,0.92544,0.922,0.6750966,0.548157,0.2252436,4240.769,4231.217,9.552057
200,2/16/2000,9009,8.2,5.2,35.65575,3.25,0,1.052964,0.9960442,0.92544,0.922,0.6750966,0.5481729,0.2253295,4241.813,4232.255,9.558056
200,2/17/2000,9009,8.2,5.2,35.65343,3.25,0,1.052962,0.9960441,0.92544,0.922,0.6750966,0.5481888,0.2254155,4242.856,4233.292,9.564054
200,2/18/2000,9009,8.2,5.2,35.65112,3.25,0,1.05296,0.996044,0.92544,0.922,0.6750966,0.5482046,0.2255014,4243.899,4234.33,9.570054
200,2/19/2000,9009,8.2,5.2,35.64881,3.25,0,1.052958,0.9960439,0.92544,0.922,0.6750966,0.5482204,0.2255874,4244.943,4235.367,9.576056
200,2/20/2000,9009,8.2,5.2,35.6465,3.25,0,1.052956,0.9960438,0.92544,0.922,0.6750966,0.5482361,0.2256733,4245.986,4236.404,9.582059
200,2/21/2000,9009,8.2,5.2,35.64419,3.25,0,1.052954,0.9960437,0.92544,0.922,0.6750966,0.548257,0.2257593,4247.03,4237.442,9.588066
200,2/22/2000,9009,8.2,5.2,35.64188,3.25,0,1.052952,0.9960436,0.92544,0.922,0.6750966,0.5482727,0.2258453,4248.074,4238.479,9.594074
200,2/23/2000,9009,8.2,5.2,35.63957,3.25,0,1.05295,0.9960435,0.92544,0.922,0.6750966,0.5482883,0.2259312,4249.117,4239.517,9.600082
